step,train_loss,test_loss
0,5.4761543,0.0564963
1000,1.8172054,0.008818684
2000,1.7605917,0.013988165
3000,1.7933786,0.030621972
4000,2.0240254,0.022979572
5000,1.7162428,0.0231743
6000,1.8215013,0.022075929
7000,1.7528377,0.017738443
8000,1.7664926,0.020702321
9000,1.8997223,0.022374341
10000,1.8232589,0.03857425
11000,1.712677,0.020153169
12000,1.8123816,0.023333646
13000,1.8603569,0.03211769
14000,1.5795982,0.025717404
15000,1.7991062,0.02382657
16000,1.545093,0.042697515
17000,1.7271847,0.03438863
18000,1.8217003,0.025205746
19000,1.8658572,0.01979945
